Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Sale of Investment,BAC,"286,819,000","243,161,000","291,389,000","262,443,000"
Net Proceeds Payment for Loan,BAC,"-11,754,000","-65,051,000","-52,807,000","44,693,000"
Proceeds from Loans,BAC,"11,081,000","26,757,000","10,396,000","49,922,000"
Payment for Loans,BAC,"-22,835,000","-91,808,000","-63,203,000","-5,229,000"
Net Other Investing Changes,BAC,"-5,258,000","-4,612,000","-3,479,000","-3,489,000"
Financing Cash Flow,BAC,"93,345,000","-106,039,000","291,650,000","355,819,000"
Cash Flow from Continuing Financing Activities,BAC,"93,345,000","-106,039,000","291,650,000","355,819,000"
Change in Federal Funds And Securities Sold for Repurchase,BAC,"88,252,000","3,306,000","22,006,000","5,214,000"
Net Issuance Payments of Debt,BAC,"25,987,000","35,034,000","34,281,000","4,172,000"
Net Long Term Debt Issuance,BAC,"20,825,000","31,855,000","29,849,000","9,065,000"
Long Term Debt Issuance,BAC,"65,396,000","65,910,000","76,675,000","57,013,000"
Long Term Debt Payments,BAC,"-44,571,000","-34,055,000","-46,826,000","-47,948,000"
Net Short Term Debt Issuance,BAC,"5,162,000","3,179,000","4,432,000","-4,893,000"
Net Common Stock Issuance,BAC,"-4,576,000","-5,073,000","-25,126,000","-7,025,000"
Common Stock Payments,BAC,"-4,576,000","-5,073,000","-25,126,000","-7,025,000"
Net Preferred Stock Issuance,BAC,0,"3,772,000","198,000","1,109,000"
Preferred Stock Issuance,BAC,0,"4,426,000","2,169,000","2,181,000"
Preferred Stock Payments,BAC,0,"-654,000","-1,971,000","-1,072,000"
Cash Dividends Paid,BAC,"-9,087,000","-8,576,000","-8,055,000","-7,727,000"
Net Other Financing Charges,BAC,"-717,000","-312,000","-620,000","-601,000"
End Cash Position,BAC,"333,073,000","230,203,000","348,221,000","380,463,000"
Changes in Cash,BAC,"102,940,000","-114,895,000","-28,834,000","216,147,000"
Effect of Exchange Rate Changes,BAC,"-70,000","-3,123,000","-3,408,000","2,756,000"
Beginning Cash Position,BAC,"230,203,000","348,221,000","380,463,000","161,560,000"
Income Tax Paid Supplemental Data,BAC,"3,405,000","2,288,000","2,760,000","2,894,000"
Interest Paid Supplemental Data,BAC,"69,604,000","18,526,000","4,506,000","8,662,000"
Issuance of Capital Stock,BAC,0,"4,426,000","2,169,000","2,181,000"
Issuance of Debt,BAC,"65,396,000","65,910,000","76,675,000","57,013,000"
Repayment of Debt,BAC,"-44,571,000","-34,055,000","-46,826,000","-47,948,000"
Repurchase of Capital Stock,BAC,"-4,576,000","-5,727,000","-27,097,000","-8,097,000"
Free Cash Flow,BAC,"44,982,000","-6,327,000","-7,193,000","37,993,000"
Operating Cash Flow,WFC,"40,358,000","27,048,000","-11,525,000","2,051,000"
Cash Flow from Continuing Operating Activities,WFC,"40,358,000","27,048,000","-11,525,000","2,051,000"
Net Income from Continuing Operations,WFC,"19,029,000","13,378,000","23,799,000","3,662,000"
Depreciation Amortization Depletion,WFC,"6,271,000","6,832,000","7,890,000","8,219,000"
Depreciation & amortization,WFC,"6,271,000","6,832,000","7,890,000","8,219,000"
Deferred Tax,WFC,"-50,000","1,239,000","-1,106,000","-3,289,000"
Deferred Income Tax,WFC,"-50,000","1,239,000","-1,106,000","-3,289,000"
Other non-cash items,WFC,"3,577,000","-24,016,000","-69,824,000","-52,345,000"
Asset Impairment Charge,WFC,"851,000","-1,326,000","-1,188,000","4,321,000"
Stock based compensation,WFC,-,-,-,"1,766,000"
Provision for Loan Lease And Other Losses,WFC,"5,399,000","1,534,000","-4,155,000","14,129,000"
Change in working capital,WFC,"5,281,000","29,407,000","33,059,000","27,354,000"
Change in Payables And Accrued Expense,WFC,"4,615,000","-860,000","732,000","1,936,000"
Change in Accrued Expense,WFC,"4,615,000","-860,000","732,000","1,936,000"
Change in Deferred Charges,WFC,-,-,-,"-3,314,000"
Change in Other Current Assets,WFC,"-6,838,000","-9,162,000","15,477,000","-12,304,000"
Change in Other Working Capital,WFC,"7,504,000","39,429,000","16,850,000","37,722,000"
Investing Cash Flow,WFC,"16,043,000","-42,476,000","-7,619,000","122,554,000"
Cash Flow from Continuing Investing Activities,WFC,"16,043,000","-42,476,000","-7,619,000","122,554,000"
Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,WFC,"-12,729,000","-704,000","-551,000","36,468,000"
Net Investment Purchase And Sale,WFC,"14,052,000","19,230,000","-11,247,000","28,663,000"
Purchase of Investment,WFC,"-36,087,000","-49,448,000","-189,356,000","-146,977,000"
Sale of Investment,WFC,"50,139,000","68,678,000","178,109,000","175,640,000"
Net Investment Properties Purchase And Sale,WFC,-,-,-,"1,147,000"
Sale of Investment Properties,WFC,-,-,-,"1,147,000"
Net Proceeds Payment for Loan,WFC,"14,329,000","-61,807,000","397,000","56,639,000"
Proceeds from Loans,WFC,"19,442,000","17,619,000","40,832,000","71,004,000"
Payment for Loans,WFC,"-5,113,000","-79,426,000","-40,435,000","-14,365,000"
Net Other Investing Changes,WFC,"391,000","805,000","3,782,000","784,000"
Financing Cash Flow,WFC,"20,494,000","-59,645,000","-11,238,000","-1,243,000"
Cash Flow from Continuing Financing Activities,WFC,"20,494,000","-59,645,000","-11,238,000","-1,243,000"
Net Issuance Payments of Debt,WFC,"64,599,000","50,714,000","-70,449,000","-72,724,000"
Net Long Term Debt Issuance,WFC,"26,185,000","34,150,000","-45,859,000","-27,211,000"
Long Term Debt Issuance,WFC,"49,071,000","53,737,000","1,275,000","38,136,000"
Long Term Debt Payments,WFC,"-22,886,000","-19,587,000","-47,134,000","-65,347,000"
Net Short Term Debt Issuance,WFC,"38,414,000","16,564,000","-24,590,000","-45,513,000"
Net Common Stock Issuance,WFC,"-11,851,000","-6,033,000","-14,464,000","-3,415,000"
Common Stock Issuance,WFC,-,-,-,"571,000"
Common Stock Payments,WFC,"-11,851,000","-6,033,000","-14,464,000","-3,415,000"
Net Preferred Stock Issuance,WFC,"-3,000",0,"-919,000","-486,000"
Preferred Stock Issuance,WFC,"1,722,000",0,"5,756,000","3,116,000"
Preferred Stock Payments,WFC,"-1,725,000",0,"-6,675,000","-3,602,000"
Cash Dividends Paid,WFC,"-5,930,000","-5,293,000","-3,627,000","-6,142,000"
Common Stock Dividend Paid,WFC,"-4,789,000","-4,178,000","-2,422,000","-4,852,000"
Preferred Stock Dividend Paid,WFC,"-1,141,000","-1,115,000","-1,205,000","-1,290,000"
Net Other Financing Charges,WFC,"-509,000","-539,000","-361,000","-231,000"
End Cash Position,WFC,"236,052,000","159,157,000","234,230,000","264,612,000"
Changes in Cash,WFC,"76,895,000","-75,073,000","-30,382,000","123,362,000"
Beginning Cash Position,WFC,"159,157,000","234,230,000","264,612,000","141,250,000"
Income Tax Paid Supplemental Data,WFC,-,"3,376,000","3,166,000","1,175,000"
Interest Paid Supplemental Data,WFC,"30,431,000","8,289,000","4,384,000","8,414,000"
Issuance of Capital Stock,WFC,"1,722,000",0,"5,756,000","3,116,000"
Issuance of Debt,WFC,"49,071,000","53,737,000","1,275,000","38,136,000"
Repayment of Debt,WFC,"-22,886,000","-19,587,000","-47,134,000","-65,347,000"
Repurchase of Capital Stock,WFC,"-13,576,000","-6,033,000","-21,139,000","-7,017,000"
Free Cash Flow,WFC,"40,358,000","27,048,000","-11,525,000","2,051,000"
Operating Cash Flow,JPM,"12,974,000","107,119,000","78,084,000","-79,910,000"
Cash Flow from Continuing Operating Activities,JPM,"12,974,000","107,119,000","78,084,000","-79,910,000"
Net Income from Continuing Operations,JPM,"49,552,000","37,676,000","48,334,000","29,131,000"
Operating Gains Losses,JPM,"-2,775,000",-,-,-
Gain Loss On Sale of Business,JPM,"-2,775,000",0,0,-
Depreciation Amortization Depletion,JPM,"7,512,000","7,051,000","7,932,000","8,614,000"
Depreciation & amortization,JPM,"7,512,000","7,051,000","7,932,000","8,614,000"
Deferred Tax,JPM,"-4,534,000","-2,738,000","3,748,000","-3,573,000"
Deferred Income Tax,JPM,"-4,534,000","-2,738,000","3,748,000","-3,573,000"
Other non-cash items,JPM,"10,067,000","26,055,000","-8,575,000","13,750,000"
Provision for Loan Lease And Other Losses,JPM,"9,320,000","6,389,000","-9,256,000","17,480,000"
Change in working capital,JPM,"-56,168,000","32,686,000","35,901,000","-145,312,000"
Change in Receivables,JPM,"19,928,000","-22,970,000","-12,401,000","-18,012,000"
Changes in Account Receivables,JPM,"19,928,000","-22,970,000","-12,401,000","-18,012,000"
Change in Payables And Accrued Expense,JPM,"-25,388,000","58,614,000","43,162,000","7,415,000"
Change in Payable,JPM,"-25,388,000","58,614,000","43,162,000","7,415,000"
Change in Account Payable,JPM,"-25,388,000","58,614,000","43,162,000","7,415,000"
Change in Other Current Assets,JPM,"32,970,000","-2,882,000","-11,745,000","-42,430,000"
Change in Other Working Capital,JPM,"-83,678,000","-76,000","16,885,000","-92,285,000"
Investing Cash Flow,JPM,"67,643,000","-137,819,000","-129,344,000","-261,912,000"
Cash Flow from Continuing Investing Activities,JPM,"67,643,000","-137,819,000","-129,344,000","-261,912,000"
Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,JPM,"39,740,000","-54,278,000","34,473,000","-47,115,000"
Net Investment Purchase And Sale,JPM,"95,594,000","12,467,000","-96,821,000","-180,752,000"
Purchase of Investment,JPM,"-119,640,000","-159,934,000","-360,541,000","-409,545,000"
Sale of Investment,JPM,"215,234,000","172,401,000","263,720,000","228,793,000"
Net Proceeds Payment for Loan,JPM,"-41,031,000","-84,076,000","-55,952,000","-26,704,000"
Proceeds from Loans,JPM,"47,312,000","44,892,000","35,845,000","23,559,000"
Payment for Loans,JPM,"-88,343,000","-128,968,000","-91,797,000","-50,263,000"
Net Business Purchase And Sale,JPM,"-9,920,000",0,0,-
Net Other Investing Changes,JPM,"-16,740,000","-11,932,000","-11,044,000","-7,341,000"
Financing Cash Flow,JPM,"-25,571,000","-126,257,000","275,993,000","596,645,000"
Cash Flow from Continuing Financing Activities,JPM,"-25,571,000","-126,257,000","275,993,000","596,645,000"
Change in Federal Funds And Securities Sold for Repurchase,JPM,"13,801,000","8,455,000","-20,799,000","31,528,000"
Net Issuance Payments of Debt,JPM,"8,603,000","23,902,000","35,250,000","-21,931,000"
Net Long Term Debt Issuance,JPM,"10,537,000","32,886,000","27,477,000","-26,369,000"
Long Term Debt Issuance,JPM,"75,417,000","78,442,000","82,409,000","78,686,000"
Long Term Debt Payments,JPM,"-64,880,000","-45,556,000","-54,932,000","-105,055,000"
Net Short Term Debt Issuance,JPM,"-1,934,000","-8,984,000","7,773,000","4,438,000"
Net Common Stock Issuance,JPM,"-9,824,000","-3,162,000","-18,408,000","-6,517,000"
Common Stock Payments,JPM,"-9,824,000","-3,162,000","-18,408,000","-6,517,000"
Net Preferred Stock Issuance,JPM,0,"-7,434,000","4,775,000","3,070,000"
Preferred Stock Issuance,JPM,0,0,"7,350,000","4,500,000"
Preferred Stock Payments,JPM,0,"-7,434,000","-2,575,000","-1,430,000"
Cash Dividends Paid,JPM,"-13,463,000","-13,562,000","-12,858,000","-12,690,000"
Net Other Financing Charges,JPM,"7,508,000","2,439,000","-5,731,000","420,000"
End Cash Position,JPM,"624,151,000","567,234,000","740,834,000","527,609,000"
Changes in Cash,JPM,"55,046,000","-156,957,000","224,733,000","254,823,000"
Effect of Exchange Rate Changes,JPM,"1,871,000","-16,643,000","-11,508,000","9,155,000"
Beginning Cash Position,JPM,"567,234,000","740,834,000","527,609,000","263,631,000"
Income Tax Paid Supplemental Data,JPM,"9,908,000","4,355,000","18,737,000","8,140,000"
Interest Paid Supplemental Data,JPM,"77,114,000","23,143,000","5,142,000","13,077,000"
Issuance of Capital Stock,JPM,0,0,"7,350,000","4,500,000"
Issuance of Debt,JPM,"75,417,000","78,442,000","82,409,000","78,686,000"
Repayment of Debt,JPM,"-64,880,000","-45,556,000","-54,932,000","-105,055,000"
Repurchase of Capital Stock,JPM,"-9,824,000","-10,596,000","-20,983,000","-7,947,000"
Free Cash Flow,JPM,"12,974,000","107,119,000","78,084,000","-79,910,000"
Operating Cash Flow,HSBC,"39,111,000","19,355,000","104,312,000","182,220,000"
Investing Cash Flow,HSBC,"-62,912,000","-27,401,000","27,536,000","-22,430,000"
Financing Cash Flow,HSBC,"-17,558,000","-6,286,000","-10,794,000","-4,643,000"
End Cash Position,HSBC,"490,933,000","521,671,000","574,032,000","468,323,000"
Changes in Cash,HSBC,"-41,359,000","-14,332,000","121,054,000","155,147,000"
Effect of Exchange Rate Changes,HSBC,"10,621,000","-38,029,000","-15,345,000","19,434,000"
Beginning Cash Position,HSBC,"521,671,000","574,032,000","468,323,000","293,742,000"
Capital Expenditure,HSBC,"-3,695,000","-4,409,000","-3,565,000","-3,510,000"
Issuance of Capital Stock,HSBC,"1,996,000",0,"1,996,000","1,497,000"
Issuance of Debt,HSBC,"5,237,000","7,300,000",0,0
Repayment of Debt,HSBC,"-2,147,000","-1,777,000","-864,000","-3,538,000"
Repurchase of Capital Stock,HSBC,"-10,429,000","-4,642,000","-5,543,000","-579,000"
Free Cash Flow,HSBC,"35,416,000","14,946,000","100,747,000","178,710,000"
Operating Cash Flow,MS,"-33,536,000","-6,397,000","33,971,000","-25,231,000"
Cash Flow from Continuing Operating Activities,MS,"-33,536,000","-6,397,000","33,971,000","-25,231,000"
Net Income from Continuing Operations,MS,"9,230,000","11,179,000","15,120,000","11,179,000"
Depreciation Amortization Depletion,MS,"4,256,000","3,998,000","4,216,000","3,769,000"
Depreciation & amortization,MS,"4,256,000","3,998,000","4,216,000","3,769,000"
Deferred Tax,MS,"-463,000","-849,000","4,000","-250,000"
Deferred Income Tax,MS,"-463,000","-849,000","4,000","-250,000"
Other non-cash items,MS,"308,000","618,000","-147,000","274,000"
Stock based compensation,MS,"1,709,000","1,875,000","2,085,000","1,312,000"
Provision for Loan Lease And Other Losses,MS,"532,000","280,000","4,000","761,000"
Change in working capital,MS,"-49,108,000","-23,498,000","12,689,000","-42,276,000"
Change in Receivables,MS,"602,000","14,664,000","774,000","-29,774,000"
Changes in Account Receivables,MS,"602,000","14,664,000","774,000","-29,774,000"
Change in Payables And Accrued Expense,MS,"-3,629,000","-4,897,000","7,758,000","10,187,000"
Change in Payable,MS,"-3,629,000","-4,897,000","7,758,000","10,187,000"
Change in Account Payable,MS,"-3,629,000","-4,897,000","7,758,000","10,187,000"
Change in Loans,MS,"3,284,000","6,438,000","7,836,000","-31,623,000"
Change in Other Working Capital,MS,"-49,365,000","-39,703,000","-3,679,000","8,934,000"
Investing Cash Flow,MS,"-3,084,000","-11,632,000","-49,897,000","-37,898,000"
Cash Flow from Continuing Investing Activities,MS,"-3,084,000","-11,632,000","-49,897,000","-37,898,000"
Net Investment Purchase And Sale,MS,"5,310,000","15,445,000","-8,003,000","-21,510,000"
Purchase of Investment,MS,"-23,078,000","-29,833,000","-69,571,000","-59,777,000"
Sale of Investment,MS,"28,388,000","45,278,000","61,568,000","38,267,000"
Net Proceeds Payment for Loan,MS,"-4,059,000","-23,652,000","-36,106,000","-17,949,000"
Net PPE Purchase And Sale,MS,"-3,412,000","-3,078,000","-2,308,000","-1,444,000"
Purchase of PPE,MS,-,"-3,078,000","-2,308,000","-1,444,000"
Net Business Purchase And Sale,MS,0,0,"-2,648,000","3,807,000"
Purchase of Business,MS,0,0,"-2,648,000",0
Sale of Business,MS,-,0,0,"3,807,000"
Net Other Investing Changes,MS,"-923,000","-347,000","-832,000","-802,000"
Financing Cash Flow,MS,"-2,726,000","22,714,000","41,547,000","83,784,000"
Cash Flow from Continuing Financing Activities,MS,"-2,726,000","22,714,000","41,547,000","83,784,000"
Net Issuance Payments of Debt,MS,"13,619,000","37,562,000","20,149,000","10,242,000"
Net Long Term Debt Issuance,MS,"13,619,000","37,562,000","20,149,000","10,242,000"
Long Term Debt Issuance,MS,"78,424,000","72,460,000","90,273,000","60,726,000"
Long Term Debt Payments,MS,"-64,805,000","-34,898,000","-70,124,000","-50,484,000"
Net Common Stock Issuance,MS,"-6,178,000","-10,871,000","-12,075,000","-1,890,000"
Common Stock Payments,MS,"-6,178,000","-10,871,000","-12,075,000","-1,890,000"
Net Preferred Stock Issuance,MS,0,"994,000","1,275,000",0
Preferred Stock Issuance,MS,0,"994,000","1,275,000",0
Cash Dividends Paid,MS,"-5,763,000","-5,401,000","-4,171,000","-2,739,000"
Net Other Financing Charges,MS,"671,000","-1,229,000","-528,000","2,754,000"
End Cash Position,MS,"89,232,000","128,127,000","127,725,000","105,654,000"
Changes in Cash,MS,"-39,346,000","4,685,000","25,621,000","20,655,000"
Effect of Exchange Rate Changes,MS,"451,000","-4,283,000","-3,550,000","2,828,000"
Beginning Cash Position,MS,"128,127,000","127,725,000","105,654,000","82,171,000"
Income Tax Paid Supplemental Data,MS,"2,035,000","4,147,000","4,231,000","2,591,000"
Interest Paid Supplemental Data,MS,"41,940,000","9,819,000","1,303,000","4,120,000"
Capital Expenditure,MS,"-3,412,000","-3,078,000","-2,308,000","-1,444,000"
Issuance of Capital Stock,MS,0,"994,000","1,275,000",0
Issuance of Debt,MS,"78,424,000","72,460,000","90,273,000","60,726,000"
Repayment of Debt,MS,"-64,805,000","-34,898,000","-70,124,000","-50,484,000"
Repurchase of Capital Stock,MS,"-6,178,000","-10,871,000","-12,075,000","-1,890,000"
Free Cash Flow,MS,"-36,948,000","-9,475,000","31,663,000","-26,675,000"
Operating Cash Flow,RY,"26,079,000","21,942,000","61,044,000","138,819,000"
Cash Flow from Continuing Operating Activities,RY,"26,079,000","21,942,000","61,044,000","138,819,000"
Net Income from Continuing Operations,RY,"14,866,000","15,807,000","16,050,000","11,437,000"
Operating Gains Losses,RY,"-64,000","-251,000","-304,000","-283,000"
Gain Loss On Sale of Business,RY,"-92,000","-100,000","-26,000","8,000"
Gain Loss On Investment Securities,RY,"-193,000","-43,000","-151,000","-218,000"
Earnings Losses from Equity Investments,RY,"221,000","-108,000","-127,000","-73,000"
Depreciation Amortization Depletion,RY,"2,870,000","2,652,000","2,592,000","2,648,000"
Depreciation & amortization,RY,"2,870,000","2,652,000","2,592,000","2,648,000"
Depreciation,RY,"1,275,000","1,265,000","1,276,000","1,333,000"
Amortization,RY,"1,595,000","1,387,000","1,316,000","1,315,000"
Amortization of Intangibles,RY,"1,595,000","1,387,000","1,316,000","1,315,000"
Deferred Tax,RY,"-995,000","569,000","581,000","-586,000"
Deferred Income Tax,RY,"-995,000","569,000","581,000","-586,000"
Provision for Loan Lease And Other Losses,RY,"2,468,000","484,000","-753,000","4,351,000"
Change in working capital,RY,"6,934,000","2,681,000","42,878,000","121,252,000"
Change in Loans,RY,"4,257,000","-100,849,000","-61,905,000","-4,048,000"
Change in Other Current Liabilities,RY,-,-,-,"814,000"
Change in Other Working Capital,RY,"2,677,000","103,530,000","104,783,000","125,300,000"
Investing Cash Flow,RY,"-28,265,000","-57,054,000","-57,348,000","-39,557,000"
Cash Flow from Continuing Investing Activities,RY,"-28,265,000","-57,054,000","-57,348,000","-39,557,000"
Capital Expenditure Reported,RY,-,-,-,"-2,629,000"
Proceeds Payment in Interest Bearing Deposits in Bank,RY,"18,743,000","-28,373,000","-40,618,000","-676,000"
Net Investment Purchase And Sale,RY,"-45,990,000","-23,821,000","-14,622,000","-36,230,000"
Purchase of Investment,RY,"-202,456,000","-122,964,000","-123,547,000","-149,516,000"
Sale of Investment,RY,"156,466,000","99,143,000","108,925,000","113,286,000"
Net PPE Purchase And Sale,RY,"-2,730,000","-2,500,000","-2,186,000","-2,629,000"
Purchase of PPE,RY,"-2,730,000","-2,500,000","-2,186,000","-2,629,000"
Net Business Purchase And Sale,RY,"1,712,000","-2,360,000","78,000","-22,000"
Purchase of Business,RY,0,"-2,360,000",0,"-22,000"
Sale of Business,RY,"1,712,000",-,"78,000",0
Financing Cash Flow,RY,"-9,833,000","-2,185,000","-5,928,000","-7,746,000"
Cash Flow from Continuing Financing Activities,RY,"-9,833,000","-2,185,000","-5,928,000","-7,746,000"
Net Issuance Payments of Debt,RY,"-4,427,000","9,788,000","-385,000","-825,000"
Net Long Term Debt Issuance,RY,"675,000","179,000","-371,000","-838,000"
Long Term Debt Issuance,RY,"1,500,000","1,000,000","2,750,000","2,750,000"
Long Term Debt Payments,RY,"-825,000","-821,000","-3,121,000","-3,588,000"
Net Short Term Debt Issuance,RY,"-5,102,000","9,609,000","-14,000","13,000"
Net Common Stock Issuance,RY,"164,000","-5,602,000","110,000","-819,000"
Common Stock Issuance,RY,"4,239,000","5,525,000","4,853,000","4,848,000"
Common Stock Payments,RY,"-4,075,000","-11,127,000","-4,743,000","-5,667,000"
Net Preferred Stock Issuance,RY,0,"594,000","770,000","237,000"
Preferred Stock Issuance,RY,0,"749,000","2,245,000","1,745,000"
Preferred Stock Payments,RY,0,"-155,000","-1,475,000","-1,508,000"
Cash Dividends Paid,RY,"-5,549,000","-6,960,000","-6,420,000","-6,333,000"
Net Other Financing Charges,RY,"-21,000","-5,000","-3,000","-6,000"
End Cash Position,RY,"61,989,000","72,397,000","113,846,000","118,888,000"
Changes in Cash,RY,"-12,019,000","-37,297,000","-2,232,000","91,516,000"
Effect of Exchange Rate Changes,RY,"1,611,000","-4,152,000","-2,810,000","1,062,000"
Beginning Cash Position,RY,"72,397,000","113,846,000","118,888,000","26,310,000"
Income Tax Paid Supplemental Data,RY,"4,964,000","7,326,000","4,198,000","2,880,000"
Interest Paid Supplemental Data,RY,"54,698,000","13,677,000","7,555,000","13,058,000"
Capital Expenditure,RY,"-2,730,000","-2,500,000","-2,186,000","-2,629,000"
Issuance of Capital Stock,RY,"4,239,000","6,274,000","7,098,000","6,593,000"
Issuance of Debt,RY,"1,500,000","1,000,000","2,750,000","2,750,000"
Repayment of Debt,RY,"-825,000","-821,000","-3,121,000","-3,588,000"
Repurchase of Capital Stock,RY,"-4,075,000","-11,282,000","-6,218,000","-7,175,000"
Free Cash Flow,RY,"23,349,000","19,442,000","58,858,000","136,190,000"
Operating Cash Flow,GS,"-12,587,000","8,708,000","6,298,000","-18,535,000"
Cash Flow from Continuing Operating Activities,GS,"-12,587,000","8,708,000","6,298,000","-18,535,000"
Net Income from Continuing Operations,GS,"8,516,000","11,261,000","21,635,000","9,459,000"
Operating Gains Losses,GS,-,-,-,"-1,000"
Depreciation Amortization Depletion,GS,"4,856,000","2,455,000","2,015,000","1,902,000"
Depreciation & amortization,GS,"4,856,000","2,455,000","2,015,000","1,902,000"
Deferred Tax,GS,"-1,360,000","-2,412,000","5,000","-833,000"
Deferred Income Tax,GS,"-1,360,000","-2,412,000","5,000","-833,000"
Stock based compensation,GS,"2,085,000","4,083,000","2,348,000","1,920,000"
Provision for Loan Lease And Other Losses,GS,"1,028,000","2,715,000","357,000","3,098,000"
Change in working capital,GS,"-27,712,000","-9,394,000","-20,062,000","-34,080,000"
Change in Loans,GS,"161,862,000","-97,835,000","-75,614,000","-11,187,000"
Change in Other Working Capital,GS,"-189,574,000","88,441,000","55,552,000","-22,893,000"
Investing Cash Flow,GS,"-17,312,000","-75,960,000","-30,465,000","-34,356,000"
Cash Flow from Continuing Investing Activities,GS,"-17,312,000","-75,960,000","-30,465,000","-34,356,000"
Net Investment Purchase And Sale,GS,"-13,408,000","-47,575,000","5,789,000","-19,613,000"
Purchase of Investment,GS,"-40,256,000","-60,536,000","-39,912,000","-48,670,000"
Sale of Investment,GS,"26,848,000","12,961,000","45,701,000","29,057,000"
Net Proceeds Payment for Loan,GS,"-5,353,000","-25,228,000","-35,520,000","-11,173,000"
Payment for Loans,GS,-,-,-,"-11,173,000"
Net PPE Purchase And Sale,GS,"962,000","-1,042,000","-734,000","-3,339,000"
Purchase of PPE,GS,"-2,316,000","-3,748,000","-4,667,000","-6,309,000"
Sale of PPE,GS,"3,278,000","2,706,000","3,933,000","2,970,000"
Net Business Purchase And Sale,GS,"487,000","-2,115,000",0,"-231,000"
Purchase of Business,GS,-,"-2,115,000",0,"-231,000"
Financing Cash Flow,GS,"27,800,000","59,602,000","134,738,000","70,380,000"
Cash Flow from Continuing Financing Activities,GS,"27,800,000","59,602,000","134,738,000","70,380,000"
Net Issuance Payments of Debt,GS,"-4,713,000","38,147,000","39,131,000","6,703,000"
Net Long Term Debt Issuance,GS,"-7,436,000","40,109,000","38,314,000","-3,865,000"
Long Term Debt Issuance,GS,"50,200,000","86,322,000","97,512,000","55,323,000"
Long Term Debt Payments,GS,"-57,636,000","-46,213,000","-59,198,000","-59,188,000"
Net Short Term Debt Issuance,GS,"2,723,000","-1,962,000","817,000","10,568,000"
Net Common Stock Issuance,GS,"-5,796,000","-3,500,000","-5,200,000","-1,928,000"
Common Stock Issuance,GS,-,-,-,0
Common Stock Payments,GS,"-5,796,000","-3,500,000","-5,200,000","-1,928,000"
Net Preferred Stock Issuance,GS,"496,000",0,"-503,000","-1,000"
Preferred Stock Issuance,GS,"1,496,000",0,"2,172,000","349,000"
Preferred Stock Payments,GS,"-1,000,000",0,"-2,675,000","-350,000"
Cash Dividends Paid,GS,"-4,189,000","-3,682,000","-2,725,000","-2,336,000"
Common Stock Dividend Paid,GS,-,-,-,"-2,336,000"
Net Other Financing Charges,GS,"2,279,000","563,000","497,000","599,000"
End Cash Position,GS,"241,577,000","241,825,000","261,036,000","155,842,000"
Changes in Cash,GS,"-2,099,000","-7,650,000","110,571,000","17,489,000"
Effect of Exchange Rate Changes,GS,"1,851,000","-11,561,000","-5,377,000","4,807,000"
Beginning Cash Position,GS,"241,825,000","261,036,000","155,842,000","133,546,000"
